code,PI,name,pre_close,price,change,time
600299,2.8629856850715747,安迪苏,11.830,11.970,1.18,09:50
002396,2.8539576365663324,星网锐捷,19.690,20.200,2.59,09:50
600201,2.7819392426134,生物股份,15.820,16.080,1.64,09:50
603214,2.7777777777777777,爱婴室,58.460,60.890,4.16,09:50
002741,2.7583798882681565,光华科技,14.730,14.960,1.56,09:50
000938,2.6721556886227544,紫光股份,45.180,47.440,5.00,09:50
300170,2.6120342396777443,汉得信息,11.540,11.680,1.21,09:50
600397,2.5524403619413216,*ST安煤,2.060,2.130,3.40,09:50
600867,2.551898734177215,通化东宝,21.640,21.860,1.02,09:50
600179,2.4957507082152977,安通控股,9.890,10.020,1.31,09:50
002458,2.4008810572687223,益生股份,19.110,19.580,2.46,09:50
002299,2.30343300110742,圣农发展,17.300,17.580,1.62,09:50
000661,2.2535211267605635,长春高新,212.750,215.770,1.42,09:50
002419,2.227784730913642,天虹股份,11.510,11.660,1.30,09:50
002916,3.996366939146231,深南电路,65.310,69.230,6.00,09:51
002049,3.973684210526316,紫光国微,44.970,45.770,1.78,09:51
300572,3.5520833333333335,安车检测,45.400,46.150,1.65,09:51
002912,3.354037267080745,中新赛克,96.750,98.900,2.22,09:51
300383,3.3343057176196034,光环新网,14.760,15.340,3.93,09:51
603458,3.2892416225749557,勘设股份,39.040,39.470,1.10,09:51
300526,3.1549609810479375,中潜股份,14.040,14.220,1.28,09:51
600201,2.9294478527607364,生物股份,15.820,16.080,1.64,09:51
603319,2.914691943127962,湘油泵,24.040,25.490,6.03,09:51
600397,2.903868917824435,*ST安煤,2.060,2.150,4.37,09:51
002594,2.9017857142857144,比亚迪,41.690,42.510,1.97,09:51
002808,2.8800856531049246,苏州恒久,10.630,10.810,1.69,09:51
300170,2.8716314111851635,汉得信息,11.540,11.680,1.21,09:51
000829,2.864321608040201,天音控股,8.780,8.890,1.25,09:51
002930,2.7741407528641573,宏川智慧,32.920,33.440,1.58,09:51
002741,2.6725304465493913,光华科技,14.730,14.960,1.56,09:51
002675,2.6132884262094302,东诚药业,8.940,9.290,3.91,09:51
300685,2.5595238095238093,艾德生物,52.800,53.400,1.14,09:51
603458,4.275184275184275,勘设股份,39.040,39.450,1.05,09:52
002410,4.0,广联达,28.990,30.000,3.48,09:52
600397,3.3994363845110116,*ST安煤,2.060,2.160,4.85,09:52
300202,3.3598452278589854,聚龙股份,9.750,10.700,9.74,09:52
300572,3.2352941176470584,安车检测,45.400,46.130,1.61,09:52
603986,3.1456953642384105,兆易创新,111.170,112.800,1.47,09:52
002741,3.062015503875969,光华科技,14.730,14.950,1.49,09:52
002675,2.982977573628749,东诚药业,8.940,9.350,4.59,09:52
300684,2.9699248120300754,中石科技,84.160,86.000,2.19,09:52
002808,2.914285714285714,苏州恒久,10.630,10.830,1.88,09:52
603676,2.9038461538461537,卫信康,15.660,15.910,1.60,09:52
300604,2.857142857142857,长川科技,40.110,40.900,1.97,09:52
600201,2.82671629445823,生物股份,15.820,16.080,1.64,09:52
300584,2.7849740932642484,海辰药业,32.580,33.570,3.04,09:52
300454,2.727272727272727,深信服,98.880,102.000,3.16,09:52
603659,2.6886792452830184,璞泰来,49.420,50.070,1.32,09:52
600588,2.679425837320574,用友网络,27.680,29.100,5.13,09:52
603693,2.5982532751091703,江苏新能,21.370,21.750,1.78,09:52
603458,3.657505285412262,勘设股份,39.040,39.440,1.02,09:53
603319,3.5439137134052383,湘油泵,24.040,25.250,5.03,09:53
000829,3.384588193708024,天音控股,8.780,8.880,1.14,09:53
300584,3.1875,海辰药业,32.580,33.500,2.82,09:53
603869,3.118393234672304,新智认知,17.800,18.000,1.12,09:53
002808,3.0422264875239926,苏州恒久,10.630,10.810,1.69,09:53
300384,2.9505813953488373,三联虹普,35.600,36.000,1.12,09:53
002930,2.8631961259079906,宏川智慧,32.920,33.430,1.55,09:53
002384,2.8419654714475433,东山精密,25.020,25.440,1.68,09:53
600804,2.8018905605112505,鹏博士,11.500,11.910,3.57,09:53
300146,2.800650054171181,汤臣倍健,19.900,20.250,1.76,09:53
002648,2.796934865900383,卫星石化,9.380,10.090,7.57,09:53
600633,2.712577502214349,浙数文化,8.770,8.860,1.03,09:53
002741,2.6853146853146854,光华科技,14.730,14.960,1.56,09:53
600201,2.644723784320212,生物股份,15.820,16.080,1.64,09:53
603693,2.530647985989492,江苏新能,21.370,21.700,1.54,09:53
300638,2.5191570881226055,广和通,27.990,28.290,1.07,09:53
002491,2.486789960369881,通鼎互联,9.880,10.240,3.64,09:53
002268,4.643799472295514,卫 士 通,19.220,20.580,7.08,09:54
600201,4.064946361264135,生物股份,15.820,16.080,1.64,09:54
603535,3.60655737704918,嘉诚国际,20.890,21.110,1.05,09:54
002376,3.4160139251523067,新北洋,14.300,14.600,2.10,09:54
000829,3.2523777173913047,天音控股,8.780,8.900,1.37,09:54
600260,3.2516129032258063,凯乐科技,21.440,21.960,2.43,09:54
300584,3.186046511627907,海辰药业,32.580,33.570,3.04,09:54
002741,3.163097199341021,光华科技,14.730,14.950,1.49,09:54
300226,2.81524926686217,上海钢联,55.500,56.100,1.08,09:54
